Depth of Web opening(dwh/d1),d1,tw,flange width(mm),total depth D (mm),fyw,E,a/d,VU(FEA)
0.0,144.0,1.5,60.0,150.0,349.1066271,210000.0,1.0,39.1409
28.8,144.0,1.5,60.0,150.0,349.1066271,210000.0,1.0,33.909
57.6,144.0,1.5,60.0,150.0,349.1066271,210000.0,1.0,24.4134
86.4,144.0,1.5,60.0,150.0,349.1066271,210000.0,1.0,16.2342
115.2,144.0,1.5,60.0,150.0,349.1066271,210000.0,1.0,9.90674
0.0,142.0,2.0,60.0,150.0,349.1066271,210000.0,1.0,55.5945
28.4,142.0,2.0,60.0,150.0,349.1066271,210000.0,1.0,51.2173
56.8,142.0,2.0,60.0,150.0,349.1066271,210000.0,1.0,37.6513
85.2,142.0,2.0,60.0,150.0,349.1066271,210000.0,1.0,25.3629
113.6,142.0,2.0,60.0,150.0,349.1066271,210000.0,1.0,14.0419
0.0,140.0,2.5,60.0,150.0,349.1066271,210000.0,1.0,73.4316
28.0,140.0,2.5,60.0,150.0,349.1066271,210000.0,1.0,67.1021
56.0,140.0,2.5,60.0,150.0,349.1066271,210000.0,1.0,52.0846
84.0,140.0,2.5,60.0,150.0,349.1066271,210000.0,1.0,34.3107
112.0,140.0,2.5,60.0,150.0,349.1066271,210000.0,1.0,20.2668
0.0,138.0,3.0,60.0,150.0,349.1066271,210000.0,1.0,91.0272
27.6,138.0,3.0,60.0,150.0,349.1066271,210000.0,1.0,83.467
55.2,138.0,3.0,60.0,150.0,349.1066271,210000.0,1.0,66.5666
82.8,138.0,3.0,60.0,150.0,349.1066271,210000.0,1.0,45.2838
110.4,138.0,3.0,60.0,150.0,349.1066271,210000.0,1.0,25.7821
0.0,194.0,1.5,65.0,200.0,349.1066271,210000.0,1.0,43.3239
38.8,194.0,1.5,65.0,200.0,349.1066271,210000.0,1.0,40.3678
77.6,194.0,1.5,65.0,200.0,349.1066271,210000.0,1.0,28.1667
116.4,194.0,1.5,65.0,200.0,349.1066271,210000.0,1.0,18.0585
155.2,194.0,1.5,65.0,200.0,349.1066271,210000.0,1.0,9.3011
0.0,192.0,2.0,65.0,200.0,349.1066271,210000.0,1.0,66.2976
38.4,192.0,2.0,65.0,200.0,349.1066271,210000.0,1.0,60.2725
76.8,192.0,2.0,65.0,200.0,349.1066271,210000.0,1.0,44.8114
115.2,192.0,2.0,65.0,200.0,349.1066271,210000.0,1.0,28.3621
153.6,192.0,2.0,65.0,200.0,349.1066271,210000.0,1.0,15.3184
0.0,190.0,2.5,65.0,200.0,349.1066271,210000.0,1.0,91.427
38.0,190.0,2.5,65.0,200.0,349.1066271,210000.0,1.0,80.5548
76.0,190.0,2.5,65.0,200.0,349.1066271,210000.0,1.0,60.0963
114.0,190.0,2.5,65.0,200.0,349.1066271,210000.0,1.0,40.156
152.0,190.0,2.5,65.0,200.0,349.1066271,210000.0,1.0,21.9463
0.0,188.0,3.0,65.0,200.0,349.1066271,210000.0,1.0,111.421
37.6,188.0,3.0,65.0,200.0,349.1066271,210000.0,1.0,101.667
75.2,188.0,3.0,65.0,200.0,349.1066271,210000.0,1.0,77.7232
112.8,188.0,3.0,65.0,200.0,349.1066271,210000.0,1.0,52.2108
150.4,188.0,3.0,65.0,200.0,349.1066271,210000.0,1.0,28.4953
0.0,244.0,1.5,70.0,250.0,349.1066271,210000.0,1.0,43.9608
48.8,244.0,1.5,70.0,250.0,349.1066271,210000.0,1.0,40.7333
97.6,244.0,1.5,70.0,250.0,349.1066271,210000.0,1.0,31.9066
146.4,244.0,1.5,70.0,250.0,349.1066271,210000.0,1.0,19.9265
195.2,244.0,1.5,70.0,250.0,349.1066271,210000.0,1.0,9.7377
0.0,242.0,2.0,70.0,250.0,349.1066271,210000.0,1.0,74.4909
48.4,242.0,2.0,70.0,250.0,349.1066271,210000.0,1.0,68.6222
96.8,242.0,2.0,70.0,250.0,349.1066271,210000.0,1.0,48.0657
145.2,242.0,2.0,70.0,250.0,349.1066271,210000.0,1.0,30.5886
193.6,242.0,2.0,70.0,250.0,349.1066271,210000.0,1.0,16.1946
0.0,240.0,2.5,70.0,250.0,349.1066271,210000.0,1.0,104.523
48.0,240.0,2.5,70.0,250.0,349.1066271,210000.0,1.0,91.7876
96.0,240.0,2.5,70.0,250.0,349.1066271,210000.0,1.0,67.8789
144.0,240.0,2.5,70.0,250.0,349.1066271,210000.0,1.0,44.0768
192.0,240.0,2.5,70.0,250.0,349.1066271,210000.0,1.0,23.5989
0.0,238.0,3.0,70.0,250.0,349.1066271,210000.0,1.0,131.184
47.6,238.0,3.0,70.0,250.0,349.1066271,210000.0,1.0,120.077
95.2,238.0,3.0,70.0,250.0,349.1066271,210000.0,1.0,87.6994
142.8,238.0,3.0,70.0,250.0,349.1066271,210000.0,1.0,58.0491
190.4,238.0,3.0,70.0,250.0,349.1066271,210000.0,1.0,30.6741
0.0,294.0,1.5,75.0,300.0,349.1066271,210000.0,1.0,52.4148
58.8,294.0,1.5,75.0,300.0,349.1066271,210000.0,1.0,47.5734
117.6,294.0,1.5,75.0,300.0,349.1066271,210000.0,1.0,34.9766
176.4,294.0,1.5,75.0,300.0,349.1066271,210000.0,1.0,21.5568
235.2,294.0,1.5,75.0,300.0,349.1066271,210000.0,1.0,10.289
